id,name
4,"Assassin Transform Weapon"
5,"Assassin Token"
6,"((208738))"
15,"Abomination Hammer"
24,"Sealed Package of Snowballs"
33,"PvP Heavy Helm of the Warrior"
46,"Gladiator Weapon"
47,"Gladiator Weapon"
56,"Strong Back Brace"
57,"Hearty Back Brace"
58,"Enduring Back Brace"
59,"Berserkers Spineguard of Ruby"
60,"Clerics Spineguard of Sapphire"
61,"Rampagers Spineguard of Coral"
62,"Shirt"
63,"Leggings"
64,"Boots"
65,"Shirt"
68,"Mighty Country Coat"
69,"Mighty Country Coat"
70,"Mighty Studded Coat"
71,"Mighty Worn Chain Greaves"
72,"Berserker's Sneakthief Mask of the Afflicted"
73,"Berserker's Sneakthief Mask of Dwayna"
74,"Mighty Worn Chain Greaves"
75,"Berserker's Sneakthief Mask of Strength"
76,"Berserker's Seer Coat of the Flame Legion"
77,"Mighty Studded Coat"
78,"Strong Worn Scale Boots"
79,"Berserker's Seer Coat of the Traveler"
80,"Nika's Mask"
81,"Mighty Studded Boots"
82,"Berserker's Seer Coat of the Afflicted"
83,"Strong Worn Scale Boots"
84,"Zhed's Coat"
85,"Carrion Seer Coat of Rage"
86,"Carrion Sneakthief Mask of Grenth"
87,"Strong Worn Scale Boots"
88,"Carrion Seer Coat of the Centaur"
89,"Carrion Sneakthief Mask of Balthazar"
90,"Berserker's Reinforced Scale Boots"
91,"Carrion Seer Coat of the Afflicted"
92,"Carrion Sneakthief Mask of the Flame Legion"
93,"Shiro's Mask"
94,"Ogden's Coat"
95,"Berserker's Reinforced Scale Boots"
96,"Rampager's Sneakthief Mask of the Citadel"
97,"Rampager's Seer Coat of the Traveler"
98,"Berserker's Reinforced Scale Boots"
99,"Mighty Studded Boots"
100,"Rampager's Seer Coat of Divinity"
101,"Rampager's Sneakthief Mask of the Traveler"
102,"Berserker's Reinforced Scale Boots"
103,"Aidan's Mask"
104,"Norgu's Coat"
105,"Shaman's Seer Coat of the Flame Legion"
106,"Berserker's Sneakthief Coat of the Dolyak"
107,"Shaman's Sneakthief Mask of the Grove"
108,"Shaman's Seer Coat of Divinity"
109,"Shaman's Sneakthief Mask of Melandru"
110,"Berserker's Reinforced Scale Boots"
111,"Tahlkora's Coat"
112,"Berserker's Sneakthief Coat of the Centaur"
113,"Cleric's Seer Coat of the Eagle"
114,"Mighty Worn Chain Greaves"
115,"Reyna's Mask"
116,"Cleric's Sneakthief Mask of the Pack"
117,"Cleric's Seer Coat of the Afflicted"
118,"Mhenlo's Coat"
119,"Berserker's Sneakthief Coat of Vampirism"
120,"Strong Worn Chain Greaves"
121,"Cleric's Sneakthief Mask of Rage"
122,"Seer Coat of Rage"
123,"Zho's Mask"
124,"Jatoro's Coat"
125,"Nika's Coat"
126,"Strong Worn Chain Greaves"
128,"Berserker's Seer Coat of Rata Sum"
129,"Strong Worn Scale Boots"
130,"Errol's Mask"
131,"Khilbron's Coat"
132,"Mighty Country Coat"
133,"Berserker's Sneakthief Mask of the Flame Legion"
134,"Strong Worn Scale Boots"
135,"Mighty Country Coat"
136,"Vatlaaw's Mask"
137,"Mighty Country Coat"
138,"Mighty Swindler Mask"
139,"Carrion Sneakthief Coat of Mercy"
140,"Strong Worn Scale Boots"
