id,name
1,"Juvenile Jungle Stalker"
2,"Juvenile Boar"
3,"Juvenile Lynx"
4,"Juvenile Krytan Drakehound"
5,"Juvenile Brown Bear"
6,"Juvenile Carrion Devourer"
7,"Juvenile Salamander Drake"
8,"Juvenile Alpine Wolf"
9,"Juvenile Snow Leopard"
10,"Juvenile Raven"
11,"Juvenile Jaguar"
12,"Juvenile Marsh Drake"
13,"Juvenile Blue Moa"
14,"Juvenile White Moa"
15,"Juvenile Pink Moa"
16,"Juvenile Black Moa"
17,"Juvenile Red Moa"
18,"Juvenile Ice Drake"
19,"Juvenile River Drake"
20,"Juvenile Murellow"
21,"Juvenile Shark"
22,"Juvenile Fern Hound"
23,"Juvenile Black Bear"
24,"Juvenile Polar Bear"
25,"Juvenile Arctodus"
26,"Juvenile Whiptail Devourer"
27,"Juvenile Lashtail Devourer"
28,"Juvenile Hyena"
29,"Juvenile Wolf"
30,"Juvenile Owl"
31,"Juvenile Eagle"
32,"Juvenile White Raven"
33,"Juvenile Forest Spider"
34,"Juvenile Jungle Spider"
35,"Juvenile Cave Spider"
36,"Juvenile Black Widow Spider"
37,"Juvenile Warthog"
38,"Juvenile Siamoth"
39,"Juvenile Pig"
40,"Juvenile Armor Fish"
41,"Juvenile Blue Jellyfish"
42,"Juvenile Red Jellyfish"
43,"Juvenile Rainbow Jellyfish"
44,"Juvenile Hawk"
45,"Juvenile Reef Drake"
46,"Juvenile Smokescale"
47,"Juvenile Tiger"
48,"Juvenile Electric Wyvern"
51,"Juvenile Fire Wyvern"
52,"Juvenile Bristleback"
54,"Juvenile Cheetah"
55,"Juvenile Sand Lion"
57,"Juvenile Jacaranda"
59,"Juvenile Rock Gazelle"
61,"Juvenile Fanged Iboga"
63,"Juvenile White Tiger"
64,"Juvenile Wallow"
65,"Juvenile Phoenix"
66,"Juvenile Siege Turtle"
67,"Juvenile Aether Hunter"
68,"Juvenile Sky-Chak Striker"
69,"Juvenile Spinegazer"
70,"Juvenile Warclaw"
71,"Juvenile Janthiri Bee"
72,"Juvenile Raptor Swiftwing"
