id,name
13009,"Holding"
24687,"Afflicted"
24688,"Lich"
24691,"Traveler"
24696,"Flock"
24699,"Dolyak"
24702,"Pack"
24703,"Infiltration"
24708,"Mercy"
24711,"Vampirism"
24714,"Strength"
24717,"Rage"
24720,"Speed"
24723,"Eagle"
24726,"Rata Sum"
24729,"Hoelbrak"
24732,"Divinity"
24735,"Grove"
24738,"Scavenging"
24741,"Citadel"
24744,"Earth"
24747,"Fire"
24750,"Air"
24753,"Ice"
24756,"Ogre"
24757,"Undead"
24762,"Krait"
24765,"Balthazar"
24768,"Dwayna"
24771,"Melandru"
24776,"Lyssa"
24779,"Grenth"
24782,"Privateer"
24785,"Golemancer"
24788,"Centaur"
24791,"Wurm"
24794,"Svanir"
24797,"Flame Legion"
24800,"Elementalist"
24803,"Mesmer"
24806,"Necromancer"
24812,"Engineer"
24815,"Ranger"
24818,"Thief"
24821,"Warrior"
24824,"Guardian"
24827,"Trooper"
24830,"Adventurer"
24833,"Brawler"
24836,"Scholar"
24839,"Water"
24842,"Monk"
24845,"Aristocracy"
24848,"Nightmare"
24851,"Forgeman"
24854,"Baelfire"
24857,"Sanctuary"
24860,"Orr"
36044,"Mad King"
38206,"Altruism"
44951,"Exuberance"
44956,"Tormenting"
44957,"Perplexity"
47908,"Sunless"
48907,"Antitoxin"
49460,"Resistance"
67339,"Trapper"
67342,"Radiance"
67344,"Evasion"
67912,"Defender"
68437,"Snowfall"
69370,"Revenant"
70450,"Druid"
70600,"Leadership"
70829,"Reaper"
71276,"Scrapper"
71425,"Berserker"
72852,"Daredevil"
72912,"Thorns"
73399,"Chronomancer"
73653,"Durability"
74978,"Dragonhunter"
76100,"Herald"
76166,"Tempest"
76813,"Surging"
81091,"Nature's Bounty"
82633,"Holosmith"
82791,"Deadeye"
83338,"Firebrand"
83367,"Cavalier"
83423,"Weaver"
83502,"Renegade"
83663,"Scourge"
83964,"Soulbeast"
84127,"Mirage"
84171,"Rebirth"
84749,"Spellbreaker"
85713,"Stars"
88118,"Zephyrite"
89999,"Fireworks"
91381,"Thorns"
91387,"Mesmer"
91391,"Golemancer"
91392,"Evasion"
91396,"Cavalier"
91397,"Berserker"
91399,"Orr"
91401,"Speed"
91404,"Defender"
91408,"Flock"
91410,"Nightmare"
91411,"Resistance"
91417,"Exuberance"
91419,"Forgeman"
91423,"Strength"
91425,"Brawler"
91428,"Divinity"
91430,"Druid"
91432,"Dragonhunter"
91433,"Eagle"
91435,"Krait"
91444,"Durability"
91445,"Undead"
91447,"Revenant"
91451,"Weaver"
91457,"Daredevil"
91459,"Dolyak"
91460,"Afflicted"
91464,"Scourge"
91465,"Elementalist"
91468,"Grenth"
91471,"Lyssa"
91475,"Grove"
91477,"Baelfire"
91482,"Fireworks"
91483,"Deadeye"
91485,"Traveler"
91489,"Fire"
91493,"Earth"
91494,"Svanir"
91497,"Ogre"
91501,"Monk"
91503,"Rage"
91507,"Flame Legion"
91508,"Trapper"
91510,"Soulbeast"
91512,"Snowfall"
91513,"Balthazar"
91515,"Sunless"
91516,"Tormenting"
91518,"Water"
91522,"Engineer"
91523,"Warrior"
91525,"Zephyrite"
91529,"Dwayna"
91530,"Leadership"
91533,"Lich"
91538,"Firebrand"
91541,"Ranger"
91545,"Vampirism"
91547,"Air"
91550,"Perplexity"
91551,"Trooper"
91553,"Scavenging"
91556,"Mercy"
91557,"Privateer"
91560,"Holosmith"
91564,"Hoelbrak"
91565,"Chronomancer"
91566,"Melandru"
91567,"Necromancer"
91568,"Mirage"
91570,"Guardian"
91572,"Rata Sum"
91573,"Renegade"
91576,"Adventurer"
91578,"Reaper"
91579,"Thief"
91580,"Ice"
91581,"Mad King"
91582,"Scrapper"
91583,"Tempest"
91585,"Herald"
91587,"Radiance"
91588,"Citadel"
91590,"Spellbreaker"
91591,"Surging"
91592,"Pack"
91593,"Wurm"
91595,"Scholar"
91599,"Centaur"
91602,"Aristocracy"
91605,"Sanctuary"
91608,"Infiltration"
91627,"Rebirth"
91638,"Altruism"
91639,"Nature's Bounty"
91641,"Antitoxin"
91673,"Stars"
