id,name
24548,"Fire"
24551,"Water"
24554,"Air"
24555,"Ice"
24560,"Earth"
24561,"Rage"
24562,"Strength"
24567,"Frailty"
24570,"Blood"
24571,"Purity"
24572,"Nullification"
24575,"Bloodlust"
24578,"Corruption"
24580,"Perception"
24582,"Life"
24583,"Demons"
24584,"Benevolence"
24589,"Speed"
24591,"Luck"
24592,"Stamina"
24594,"Restoration"
24597,"Hydromancy"
24599,"Leeching"
24600,"Vision"
24601,"Battle"
24605,"Geomancy"
24607,"Energy"
24609,"Doom"
24612,"Agony"
24615,"Force"
24618,"Accuracy"
24621,"Peril"
24624,"Smoldering"
24627,"Hobbling"
24630,"Chilling"
24632,"Venom"
24636,"Debility"
24639,"Paralyzation"
24642,"Undead Slaying"
24645,"Centaur Slaying"
24648,"Grawl Slaying"
24651,"Icebrood Slaying"
24654,"Destroyer Slaying"
24655,"Ogre Slaying"
24658,"Serpent Slaying"
24661,"Elemental Slaying"
24664,"Demon Slaying"
24667,"Wrath"
24672,"Mad Scientists"
24675,"Smothering"
24678,"Justice"
24681,"Dreams"
24684,"Sorrow"
24809,"Ghost Slaying"
24865,"Celerity"
24868,"Impact"
36053,"Night"
37912,"Karka Slaying"
38294,"Generosity"
44944,"Bursting"
44947,"Renewal"
44950,"Malice"
48911,"Torment"
49457,"Momentum"
67340,"Cleansing"
67341,"Cruelty"
67343,"Incapacitation"
67913,"Blight"
68436,"Mischief"
70825,"Draining"
71130,"Ruthlessness"
72092,"Agility"
72339,"Concentration"
72872,"Absorption"
73532,"Rending"
74326,"Transference"
81045,"Bounty"
82876,"Frenzy"
84505,"Severance"
86170,"Stars"
91339,"Hologram Slaying"
91382,"Benevolence"
91384,"Stars"
91388,"Demons"
91389,"Night"
91390,"Battle"
91393,"Luck"
91398,"Paralyzation"
91400,"Renewal"
91403,"Agility"
91405,"Impact"
91406,"Hydromancy"
91407,"Vision"
91409,"Speed"
91412,"Torment"
91413,"Karka Slaying"
91415,"Restoration"
91416,"Bursting"
91420,"Rage"
91426,"Perception"
91429,"Ruthlessness"
91431,"Demon Slaying"
91436,"Grawl Slaying"
91438,"Hologram Slaying"
91439,"Force"
91441,"Energy"
91443,"Frailty"
91448,"Transference"
91452,"Dreams"
91453,"Mad Scientists"
91455,"Ghost Slaying"
91456,"Serpent Slaying"
91461,"Frenzy"
91463,"Incapacitation"
91470,"Stamina"
91473,"Concentration"
91474,"Nullification"
91476,"Bloodlust"
91478,"Malice"
91480,"Doom"
91486,"Rending"
91488,"Smoldering"
91490,"Icebrood Slaying"
91492,"Bounty"
91496,"Corruption"
91499,"Severance"
91500,"Peril"
91502,"Life"
91506,"Ogre Slaying"
91509,"Purity"
91511,"Hobbling"
91519,"Centaur Slaying"
91520,"Air"
91521,"Momentum"
91524,"Undead Slaying"
91526,"Sorrow"
91527,"Wrath"
91531,"Earth"
91532,"Venom"
91534,"Agony"
91535,"Ice"
91537,"Elemental Slaying"
91539,"Destroyer Slaying"
91542,"Blight"
91543,"Mischief"
91544,"Draining"
91546,"Celerity"
91548,"Cleansing"
91552,"Geomancy"
91558,"Generosity"
91559,"Fire"
91561,"Strength"
91575,"Debility"
91577,"Leeching"
91584,"Chilling"
91589,"Absorption"
91594,"Water"
91600,"Justice"
91603,"Cruelty"
91604,"Blood"
91607,"Accuracy"
91609,"Smothering"
