id,name
1110,"Throw Gunk"
1115,"Branch Leap"
1118,"Throw Chain"
1123,"Consume Plasma"
1125,"Eat Egg"
1129,"Ice Shard Stab"
1131,"Mace Head Crack"
1139,"Healing Seed"
1141,"Skull Fear"
1148,"Blinding Tuft"
1162,"Whirling Axe"
1167,"Whirling Strike"
1175,"Bandage"
1279,"Binding Roots"
1355,"Slash"
1359,"Flurry"
1364,"Whirlwind"
1408,"Galloping Slash"
1510,"Dual Attack"
1512,"Shoot"
1531,"Slash"
1539,"Stab"
1541,"Leap"
1626,"Throw"
1628,"Skull Bolas"
1629,"Stab"
1631,"Throw Javelin"
1641,"Stab"
1642,"Lunge"
1644,"Smash"
1691,"Slash"
1932,"Trample"
1940,"Slash"
1991,"Counter Attack"
1996,"Frost Trap"
2013,"Axe"
2014,"Cyclone Spin"
2131,"Sever Artery"
2132,"Gash"
2133,"Final Thrust"
2134,"Slash"
2135,"Savage Leap"
2136,"Whirlwind Attack"
2302,"Flurry"
2365,"Punch"
2367,"Branded Crystals"
2397,"Slash"
2399,"Slice"
2400,"Ambush"
2401,"Ambush"
2403,"Ambush"
2433,"Spit"
2434,"Tar Pool"
2446,"Shred"
2498,"Fire Bolt"
2503,"Slash"
2504,"Lunge"
2505,"Slash"
2760,"Fire Blast"
2783,"Hit"
2784,"Glue Shot"
2800,"Eye Beam"
2804,"Tentacle Slash"
2806,"Shoot"
2823,"Slash"
2824,"Throw Axe"
2839,"Slash"
2843,"Paw Swipe"
2845,"Brutal Mauling"
2871,"Jab"
2879,"Bite"
2880,"Eye Blast"
2881,"Petrifying Gaze"
2904,"Slash"
2905,"Swoop"
2907,"Shred"
2919,"Thump"
2920,"Lunge"
2922,"Charge"
2924,"Oakheart Swipe"
2937,"Vomit"
2939,"Slash"
2961,"Rock Shards"
2962,"Bite"
3032,"Jab"
3080,"Slash"
3096,"Slash"
3101,"Diseased Bite"
3102,"Slash"
3103,"Screech"
3717,"Frost Spit"
3777,"Buff Passive Oakheart"
3786,"Maul"
3787,"Lunge"
3788,"Jab"
3789,"Frozen Burst"
5487,"Frozen Burst"
5489,"Lightning Whip"
5490,"Comet"
5491,"Fireball"
5492,"Fire Attunement"
5493,"Water Attunement"
5494,"Air Attunement"
