id,name
1,"Dueling"
2,"Death Magic"
3,"Invocation"
4,"Strength"
5,"Druid"
6,"Explosives"
7,"Daredevil"
8,"Marksmanship"
9,"Retribution"
10,"Domination"
11,"Tactics"
12,"Salvation"
13,"Valor"
14,"Corruption"
15,"Devastation"
16,"Radiance"
17,"Water"
18,"Berserker"
19,"Blood Magic"
20,"Shadow Arts"
21,"Tools"
22,"Defense"
23,"Inspiration"
24,"Illusions"
25,"Nature Magic"
26,"Earth"
27,"Dragonhunter"
28,"Deadly Arts"
29,"Alchemy"
30,"Skirmishing"
31,"Fire"
32,"Beastmastery"
33,"Wilderness Survival"
34,"Reaper"
35,"Critical Strikes"
36,"Arms"
37,"Arcane"
38,"Firearms"
39,"Curses"
40,"Chronomancer"
41,"Air"
42,"Zeal"
43,"Scrapper"
44,"Trickery"
45,"Chaos"
46,"Virtues"
47,"Inventions"
48,"Tempest"
49,"Honor"
50,"Soul Reaping"
51,"Discipline"
52,"Herald"
53,"Spite"
54,"Acrobatics"
55,"Soulbeast"
56,"Weaver"
57,"Holosmith"
58,"Deadeye"
59,"Mirage"
60,"Scourge"
61,"Spellbreaker"
62,"Firebrand"
63,"Renegade"
64,"Harbinger"
65,"Willbender"
66,"Virtuoso"
67,"Catalyst"
68,"Bladesworn"
69,"Vindicator"
70,"Mechanist"
71,"Specter"
72,"Untamed"
73,"Troubadour"
74,"Paragon"
75,"Amalgam"
76,"Ritualist"
77,"Antiquary"
78,"Galeshot"
79,"Conduit"
80,"Evoker"
81,"Luminary"
